date,close_adj
1/29/1993,2.70313
2/1/1993,2.73438
2/2/1993,2.78125
2/3/1993,2.76172
2/4/1993,2.65625
2/5/1993,2.78125
2/8/1993,2.67969
2/9/1993,2.6211
2/10/1993,2.67188
2/11/1993,2.66406
2/12/1993,2.61328
2/16/1993,2.50391
2/17/1993,2.50781
2/18/1993,2.55078
2/19/1993,2.49219
2/22/1993,2.39844
2/23/1993,2.48438
2/24/1993,2.6211
2/25/1993,2.63672
2/26/1993,2.60547
3/1/1993,2.54688
3/2/1993,2.64453
3/3/1993,2.64844
3/4/1993,2.61719
3/5/1993,2.58594
3/8/1993,2.61328
3/9/1993,2.63281
3/10/1993,2.65625
3/11/1993,2.70313
3/12/1993,2.78125
3/15/1993,2.73828
3/16/1993,2.74219
3/17/1993,2.66797
3/18/1993,2.66406
3/19/1993,2.63281
3/22/1993,2.60547
3/23/1993,2.59766
3/24/1993,2.69531
3/25/1993,2.73047
3/26/1993,2.70703
3/29/1993,2.71875
3/30/1993,2.84375
3/31/1993,2.89063
4/1/1993,2.90625
4/2/1993,2.80469
4/5/1993,2.85938
4/6/1993,2.80469
4/7/1993,2.82031
4/8/1993,2.78125
4/12/1993,2.81641
4/13/1993,2.77735
4/14/1993,2.78125
4/15/1993,2.72266
4/16/1993,2.71875
4/19/1993,2.71875
4/20/1993,2.71094
4/21/1993,2.65235
4/22/1993,2.60156
4/23/1993,2.54297
4/26/1993,2.51172
4/27/1993,2.57813
4/28/1993,2.6875
4/29/1993,2.67188
4/30/1993,2.67188
5/3/1993,2.69141
5/4/1993,2.75
5/5/1993,2.78906
5/6/1993,2.72656
5/7/1993,2.71875
5/10/1993,2.78516
5/11/1993,2.74219
5/12/1993,2.69531
5/13/1993,2.67969
5/14/1993,2.67188
5/17/1993,2.70313
5/18/1993,2.76563
5/19/1993,2.89063
5/20/1993,2.94141
5/21/1993,2.89063
5/24/1993,2.87891
5/25/1993,2.85156
5/26/1993,2.97656
5/27/1993,2.94141
5/28/1993,2.89453
6/1/1993,3.00781
6/2/1993,2.99219
6/3/1993,2.95703
6/4/1993,2.9375
6/7/1993,2.91406
6/8/1993,2.88281
6/9/1993,2.84375
6/10/1993,2.84766
6/11/1993,2.79297
6/14/1993,2.88281
6/15/1993,2.89063
6/16/1993,2.85156
6/17/1993,2.83985
6/18/1993,2.73438
6/21/1993,2.76953
6/22/1993,2.75
6/23/1993,2.76953
6/24/1993,2.76563
6/25/1993,2.76563
6/28/1993,2.82031
6/29/1993,2.78125
6/30/1993,2.75
7/1/1993,2.72266
7/2/1993,2.72656
7/6/1993,2.6875
7/7/1993,2.60547
7/8/1993,2.65235
7/9/1993,2.64453
7/12/1993,2.61719
7/13/1993,2.58594
7/14/1993,2.63281
7/15/1993,2.60938
7/16/1993,2.53516
7/19/1993,2.46094
7/20/1993,2.51563
7/21/1993,2.46875
7/22/1993,2.42578
7/23/1993,2.42578
7/26/1993,2.44531
7/27/1993,2.35938
7/28/1993,2.44531
7/29/1993,2.46875
7/30/1993,2.3125
8/2/1993,2.27344
8/3/1993,2.28125
8/4/1993,2.28125
8/5/1993,2.33594
8/6/1993,2.28906
8/9/1993,2.28125
8/10/1993,2.21875
8/11/1993,2.26172
8/12/1993,2.3125
8/13/1993,2.35156
8/16/1993,2.42969
8/17/1993,2.41406
8/18/1993,2.41406
8/19/1993,2.32031
8/20/1993,2.38281
8/23/1993,2.40625
8/24/1993,2.3711
8/25/1993,2.32031
8/26/1993,2.25391
8/27/1993,2.2461
8/30/1993,2.26953
8/31/1993,2.34766
9/1/1993,2.39844
9/2/1993,2.39453
9/3/1993,2.36719
9/7/1993,2.33594
9/8/1993,2.32813
9/9/1993,2.38281
9/10/1993,2.4375
9/13/1993,2.38672
9/14/1993,2.35156
9/15/1993,2.39063
9/16/1993,2.375
9/17/1993,2.375
9/20/1993,2.36328
9/21/1993,2.375
9/22/1993,2.41406
9/23/1993,2.46094
9/24/1993,2.5
9/27/1993,2.57031
9/28/1993,2.625
9/29/1993,2.59375
9/30/1993,2.57813
10/1/1993,2.5625
10/4/1993,2.58203
10/5/1993,2.60156
10/6/1993,2.65235
10/7/1993,2.62891
10/8/1993,2.64063
